0,70784,12
0,628,9
0,1550,11
0,2872,13
0,6859,13
0,8669,15
0,10220,14
0,5653,13
0,4358,10
0,4215,12
0,5028,12
0,3313,10
0,3820,8
0,1987,7
0,612,5
0,334,4
0,259,3
0,304,7
0,686,9
0,7999,12
0,15486,15
0,32069,18
0,304,7
0,686,9
0,1966,10
0,304,7
0,338,7
0,839,10
0,1409,9
0,2616,10
0,3153,10
0,4882,13
0,7757,14
0,10,4
0,13,6
0,35,8
0,60,11
0,136,16
0,164,17
0,91,15
0,101,16
0,144,20
0,115,18
0,50,13
0,66,15
0,83,14
0,43,10
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,3,3
0,6,3
0,6,3
0,6,3
0,6,3
0,6,3
0,6,3
0,3,3
0,9,1
0,9,1
0,9,1
0,9,1
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,0
0,9,2
0,10,4
0,41,7
0,65,10
0,140,13
0,78,13
0,99,13
0,34,9
0,109,11
0,144,13
0,143,15
0,169,17
0,252,21
0,221,22
0,71,8
0,50,10
0,70,11
0,181,16
0,156,18
0,203,20
0,321,21
0,367,23
0,260,21
0,483,23
0,179,15
0,89,16
0,47,12
0,9,2
0,9,2
0,52,5
0,95,7
0,198,7
0,537,9
0,1360,10
0,1180,11
0,2482,11
0,4241,13
0,7126,15
0,2412,11
0,2115,10
0,2579,10
0,3330,11
0,632,4
0,785,4
0,222,2
0,55,2
0,8,2
0,52,5
0,241,8
0,765,9
0,1988,11
0,4255,10
0,8223,12
0,9316,11
0,17291,12
